6011;Inbound;79;2021-05-16;8944
2330;Inbound;17;2020-09-03;5282
4956;Outbound;95;2022-12-31;3873
4769;Outbound;28;2023-01-07;9163
8818;Outbound;99;2022-01-21;3146
258;Outbound;50;2022-03-07;4373
8125;Outbound;17;2021-11-26;7432
6469;Outbound;97;2024-03-01;6676
2302;Outbound;31;2023-01-28;2486
8554;Inbound;87;2022-10-07;2771
6060;Inbound;11;2021-08-28;7541
5150;Inbound;23;2021-07-23;7726
3295;Inbound;8;2020-06-19;5598
4289;Inbound;49;2020-01-19;1643
5234;Inbound;46;2021-11-24;1736
720;Inbound;30;2020-04-27;6514
6130;Inbound;19;2021-01-15;345
9648;Inbound;95;2023-06-27;9924
3955;Outbound;40;2022-09-10;5009
9159;Inbound;14;2020-07-31;3836
603;Outbound;29;2020-12-20;2463
2839;Inbound;12;2021-01-30;226
9933;Outbound;31;2020-11-09;654
3712;Outbound;60;2024-01-05;5476
4695;Outbound;18;2022-10-23;58
5223;Inbound;27;2022-07-06;9187
9299;Outbound;17;2022-07-15;1054
5152;Outbound;63;2021-03-09;2715
1568;Outbound;99;2022-01-01;949
2974;Inbound;59;2023-07-15;682
9601;Inbound;93;2022-06-22;6720
8816;Inbound;24;2023-11-20;1480
6831;Inbound;74;2022-09-24;1150
2360;Outbound;91;2023-07-27;7572
8851;Inbound;59;2023-10-07;2708
7546;Outbound;3;2023-08-24;2835
1634;Outbound;27;2023-04-21;2721
9742;Inbound;100;2021-09-07;5716
7280;Inbound;22;2022-03-10;8654
6117;Inbound;93;2023-10-29;3677
3049;Inbound;45;2021-08-27;1417
3702;Inbound;16;2022-08-30;4882
2198;Outbound;94;2021-10-12;7728
1875;Inbound;34;2022-10-08;6273
6542;Outbound;10;2020-01-24;9681
4385;Outbound;75;2021-04-01;8086
6051;Inbound;17;2020-05-30;3130
2914;Inbound;2;2021-05-14;5792
7175;Inbound;3;2023-12-08;4361
4295;Outbound;81;2023-03-02;2651
7229;Inbound;47;2022-04-30;7575
7083;Outbound;13;2024-02-06;2483
3331;Inbound;48;2020-08-08;5689
1070;Outbound;41;2021-01-23;6937
3321;Outbound;27;2021-05-14;714
1080;Outbound;41;2021-09-25;3891
1974;Outbound;95;2021-08-03;1142
1554;Inbound;14;2023-09-18;767
2223;Outbound;3;2024-03-19;7738
5302;Outbound;62;2022-03-28;1956
9162;Inbound;69;2023-03-19;5231
2778;Inbound;60;2020-08-19;639
6466;Outbound;52;2020-09-28;7747
4123;Inbound;41;2020-07-19;8293
7410;Inbound;70;2020-03-27;283
3453;Outbound;53;2022-12-02;637
3453;Inbound;95;2023-10-30;6873
1820;Inbound;10;2022-12-17;1383
9729;Outbound;68;2022-12-11;6189
6452;Outbound;49;2020-06-08;4304
3827;Outbound;93;2021-06-05;3640
7166;Outbound;67;2020-01-09;7636
7589;Outbound;50;2020-01-19;3772
5464;Outbound;46;2020-04-23;7693
1320;Outbound;37;2022-07-19;4165
5516;Outbound;93;2024-02-17;3569
5508;Inbound;81;2022-02-09;5870
7504;Outbound;47;2021-08-14;4591
4179;Outbound;68;2020-08-01;7373
7256;Outbound;16;2022-06-16;3080
4626;Outbound;21;2024-02-19;7766
3239;Inbound;96;2020-03-27;7012
3935;Outbound;45;2021-01-10;3467
6724;Inbound;62;2022-07-10;4994
9647;Outbound;65;2023-05-14;9940
2827;Inbound;21;2020-10-15;223
4567;Outbound;30;2022-08-05;8493
9076;Outbound;69;2022-04-27;7835
9434;Outbound;3;2022-10-23;186
8507;Outbound;90;2021-08-29;8431
2429;Inbound;65;2023-09-30;9640
2195;Inbound;74;2021-12-06;8908
9183;Outbound;14;2021-07-10;8618
7113;Inbound;22;2023-01-18;4831
2182;Inbound;31;2021-06-02;5480
6135;Outbound;59;2022-12-13;2394
6131;Outbound;61;2022-02-11;7442
9629;Outbound;37;2021-11-18;8865
7230;Outbound;15;2023-02-11;8187
6250;Outbound;44;2021-08-29;5685
5051;Inbound;14;2020-10-22;9148
6223;Outbound;84;2020-06-13;120
8860;Inbound;92;2020-02-03;8900
705;Outbound;31;2021-11-07;5980
6848;Inbound;74;2021-04-06;9143
6292;Outbound;48;2021-10-10;9047
3029;Outbound;60;2023-08-08;856
7599;Inbound;9;2022-09-24;4296
5737;Outbound;75;2023-09-01;4075
1121;Outbound;41;2022-05-01;7914
2506;Inbound;79;2024-01-26;3093
3638;Outbound;60;2021-04-04;6050
2075;Outbound;70;2023-08-03;2687
3750;Inbound;17;2022-04-05;9758
3631;Inbound;19;2023-03-21;1089
9619;Outbound;26;2020-08-21;6105
113;Outbound;42;2020-04-13;2617
8786;Inbound;50;2024-01-22;9938
1405;Inbound;93;2023-06-03;5817
3559;Inbound;80;2024-02-15;9459
9090;Outbound;39;2022-11-09;2174
1852;Inbound;83;2023-04-02;202
3338;Outbound;59;2023-10-29;6397
6744;Inbound;74;2022-06-22;2716
2850;Outbound;73;2020-11-09;5177
8429;Outbound;41;2024-01-01;9939
6262;Outbound;92;2020-03-07;7513
7014;Outbound;45;2020-12-03;5479
3971;Outbound;6;2024-01-31;6969
5902;Outbound;43;2022-05-03;7472
1939;Inbound;20;2020-06-19;5519
5895;Outbound;60;2022-08-28;6838
2529;Inbound;34;2022-12-06;2456
968;Outbound;70;2023-07-05;431
3780;Outbound;94;2021-04-10;1607
296;Outbound;96;2020-05-03;3812
404;Outbound;85;2021-07-04;4930
8747;Outbound;49;2020-09-17;6077
5071;Outbound;17;2020-10-13;9087
1252;Outbound;40;2023-03-07;7184
383;Inbound;12;2020-01-26;67
5692;Outbound;55;2021-07-29;1377
9324;Outbound;58;2022-11-14;5119
2714;Inbound;85;2022-11-23;947
4833;Inbound;19;2023-08-02;8607
3365;Outbound;71;2021-11-02;5031
6814;Outbound;86;2021-10-06;2944
7962;Inbound;85;2020-12-11;2657
2388;Outbound;51;2020-11-03;7697
7168;Inbound;84;2022-12-05;5849
7354;Inbound;12;2021-08-04;2912
200;Outbound;65;2024-01-18;529
6166;Inbound;30;2023-06-25;3588
8079;Inbound;12;2023-12-04;3241
2694;Inbound;22;2021-09-05;6547
9317;Outbound;24;2022-05-14;8089
7068;Outbound;83;2021-01-29;2415
3638;Outbound;72;2022-03-01;4783
1306;Outbound;27;2023-09-24;4946
7500;Inbound;30;2023-10-13;9782
8970;Outbound;71;2024-02-16;471
3992;Outbound;20;2021-09-09;5823
405;Inbound;79;2024-02-07;5110
9925;Outbound;55;2020-06-27;2292
908;Inbound;45;2022-08-02;7769
4260;Outbound;24;2023-12-23;768
5228;Inbound;63;2023-02-25;3232
5748;Outbound;5;2020-03-12;3414
1599;Outbound;94;2020-02-20;5302
4946;Inbound;70;2023-05-13;6589
9406;Outbound;66;2021-01-31;9954
5832;Outbound;9;2023-03-01;7202
947;Outbound;25;2023-04-23;8301
7205;Outbound;31;2020-04-07;1592
8898;Inbound;86;2021-09-24;8627
6068;Outbound;69;2021-06-18;6668
2897;Inbound;24;2022-04-26;3015
3682;Inbound;73;2020-10-28;5167
3308;Inbound;19;2020-12-01;5192
2354;Inbound;43;2023-06-19;2929
1094;Outbound;16;2023-05-16;9679
6756;Outbound;12;2022-11-05;9337
3243;Inbound;2;2023-09-13;4501
5603;Inbound;26;2021-06-07;9627
4937;Outbound;97;2020-08-11;6572
6829;Outbound;95;2021-09-03;1182
2294;Inbound;54;2020-01-09;8118
3650;Inbound;28;2020-06-22;4303
8799;Inbound;65;2023-09-21;4942
1996;Inbound;49;2023-09-29;6466
9083;Outbound;79;2021-08-12;5662
80;Inbound;16;2020-09-26;2041
7793;Outbound;83;2021-02-05;8081
5122;Inbound;65;2020-12-16;7442
224;Inbound;48;2022-01-12;8
435;Outbound;39;2023-07-10;4621
1581;Outbound;83;2022-10-20;4918
9358;Outbound;15;2021-12-10;8979
3667;Inbound;66;2023-07-31;2941
1189;Inbound;9;2022-11-26;4781
1026;Inbound;8;2023-01-11;6944
3073;Inbound;77;2020-03-15;3604
9770;Outbound;24;2022-08-24;5410
5286;Outbound;31;2021-11-03;11
7024;Inbound;32;2021-12-25;4844
2711;Outbound;8;2022-02-23;6250
1193;Outbound;79;2021-02-20;9800
3046;Outbound;19;2021-10-30;1802
5004;Outbound;7;2023-04-17;3451
1900;Outbound;32;2020-08-25;3656
520;Outbound;76;2020-03-18;6524
7196;Inbound;58;2023-02-07;1877
9239;Inbound;47;2021-11-17;440
9296;Inbound;31;2021-08-21;3087
4704;Outbound;76;2022-02-04;3363
133;Outbound;1;2020-11-04;8904
3069;Inbound;55;2021-11-26;3397
2798;Inbound;48;2020-11-18;3692
5274;Outbound;90;2022-07-21;8497
2349;Outbound;96;2022-08-15;7148
3246;Outbound;82;2023-10-29;7799
9197;Outbound;64;2023-05-26;8400
9929;Inbound;60;2024-01-30;7796
8373;Inbound;91;2023-01-25;8408
8770;Inbound;29;2021-04-21;5707
3621;Inbound;33;2020-06-12;8170
5514;Inbound;94;2022-07-17;5616
9253;Inbound;57;2022-09-20;7520
4013;Inbound;16;2021-08-28;2212
4627;Outbound;77;2023-02-13;2436
6745;Outbound;46;2020-02-20;5621
7436;Outbound;56;2021-02-24;2423
9637;Inbound;99;2023-02-21;1861
